,int10.txt,int50.txt,int100.txt,int1000.txt,int20k.txt,int500k.txt,intBig.txt,dutch.txt
quicksortb(1),0,0,0,0,2,64,135,419
quicksortb(2),0,0,0,0,2,64,138,407
quicksortb(3),0,0,0,0,2,62,133,408
quicksortb(4),0,0,0,0,2,61,132,415
quicksortb(5),0,0,0,0,2,60,136,411
quicksortb(6),0,0,0,0,2,59,129,409
quicksortb(7),0,0,0,0,2,59,128,412
quicksortb(8),0,0,0,0,2,57,128,412
quicksortb(9),0,0,0,0,2,58,125,412
quicksortb(10),0,0,0,0,2,60,125,415
quicksortb(11),0,0,0,0,2,57,133,414
quicksortb(12),0,0,0,0,1,56,120,412
quicksortb(13),0,0,0,0,2,56,124,408
quicksortb(14),0,0,0,0,2,55,117,409
quicksortb(15),0,0,0,0,2,55,117,416
quicksortb(16),0,0,0,0,2,55,114,408
quicksortb(17),0,0,0,0,1,56,113,431
quicksortb(18),0,0,0,1,1,55,112,413
quicksortb(19),0,0,0,0,1,55,112,412
quicksortb(20),0,0,0,0,2,55,111,424
quicksortb(21),0,0,0,0,2,54,150,418
quicksortb(22),0,0,0,0,2,56,111,409
quicksortb(23),0,0,0,0,2,55,109,417
quicksortb(24),0,0,0,0,2,58,108,410
